movid       views   movrate     year    name
11198330    906037   2.24      2022      House of the Dragon
1016150    668409   0.85      2022      All Quiet on the Western Front
9253284    500139   3.22      2022      Andor
6443346    149629   0.7      2022      Black Adam
1630029    866346   2.6      2022      Avatar: The Way of Water
944947    226935   5.47      2011      Game of Thrones
7631058    478912   3.78      2022      The Lord of the Rings: The Rings of Power
9114286    498218   2.17      2022      Black Panther: Wakanda Forever
14641788    488628   0.92      2022      Enola Holmes 2
2935622    830218   9.92      2022      The School for Good and Evil
5180504    82322   8.81      2019      The Witcher
13649396    25386   2.49      2022      The Bastard Son & The Devil Himself
12593682    888488   6.71      2022      Bullet Train
8093700    48204   0.21      2022      The Woman King
20723374    633677   1.55      2022      Tales of the Jedi
1745960    656698   4.69      2022      Top Gun: Maverick
1190634    669303   9.68      2019      The Boys
1043813    90531   0.01      2018      Titans
429087    434813   6.44      2022      Shantaram
13616990    804007   8.05      2022      Chainsaw Man
7661390    400702   2.53      2020      Gangs of London
7846844    100442   1.89      2020      Enola Holmes
7587890    543669   1.94      2018      The Rookie
6710474    923805   0.4      2022      Everything Everywhere All at Once
5057054    946208   0.99      2018      Tom Clancy's Jack Ryan
15318872    994176   9.29      2022      Werewolf by Night
15327088    684248   0.25      2022      Kantara
5645432    935495   8.62      2022      The Old Man
364845    768989   0.85      2003      NCIS
10857160    37228   4.55      2022      She-Hulk: Attorney at Law
10648342    542863   4.74      2022      Thor: Love and Thunder
1877830    815998   3.59      2022      The Batman
11138512    594589   4.17      2022      The Northman
18082758    598898   0.74      2022      The Takeover
499549    954590   8.62      2009      Avatar
4179452    937095   9.15      2015      The Last Kingdom
9184986    59565   9.48      2020      Barbarians
92099    776531   7.93      1986      Top Gun
14923244    733814   0.92      2022      The Winchesters
10954600    961912   6.21      2023      Ant-Man and the Wasp: Quantumania
2306299    224932   3.12      2013      Vikings
7221388    830852   6.39      2018      Cobra Kai
13320622    152799   8.13      2022      The Lost City
16183464    366958   6.52      2022      One Piece Film: Red
8111088    83320   1.43      2019      The Mandalorian
87332    623798   2.39      1984      Ghostbusters
7949218    322159   2.55      2019      See
2560140    906109   2.37      2013      Attack on Titan
118276    438751   6.11      1997      Buffy the Vampire Slayer
5108870    500267   4.23      2022      Morbius
2934286    977167   0.81      2022     Halo
1312171    582964   1.57      2019     The Umbrella Academy
3291150    787943   7.41      2023     The Expendables 4
7053188    305178   8.96      2018     Station 19
6468322    423779   8.53      2017     Money Heist
3322312    947966   9.14      2015     Daredevil
11126994    82041   2.36      2021     Arcane
103359    477251   2.62      1992     Batman: The Animated Series
5315210    648304   9.57      2022     Lou
1856101    786694   9.91      2017     Blade Runner 2049
18076310    497695   7.82      2022     The Rookie: Feds
1483013    410917   9.33      2013     Oblivion
118480    844610   0.92      1997     Stargate SG-1
9032400    515739   8.62      2021     Eternals
1392170    596377   0.56      2012     The Hunger Games
8367814    527762   7.17      2019     The Gentlemen
8466564    862781   6.67      2022     Obi-Wan Kenobi
9742936    852565   6.54      2020     FBI: Most Wanted
12590266    500847   9.08      2022     Cyberpunk: Edgerunners
8688814    748905   0.99      2018     The Dragon Prince
10151854    333121   6.94      2023     Shazam! Fury of the Gods
4154756    575765   6.36      2018     Avengers: Infinity War
8912936    967681   4.37      2022     DC League of Super-Pets
12327578    309732   5.31      2022     Star Trek: Strange New Worlds
60028    469431   0.48      1966     Star Trek
6723592    442115   9.25      2020     Tenet
8178634    484762   9.45      2022     RRR
14218674    108373   2.33      2021     NCIS: Hawai'i
8579674    805438   1.63      2019     1917
2017109    576833   0.96      2013     Banshee
6146586    772635   9.75      2019     John Wick: Chapter 3 - Parabellum
172495    29346   3.22      2000     Gladiator
2193021    368307   5.35      2012     Arrow
168366    903451   5.78      1997     Pokémon
96446    318646   9.22      1988     Willow
145487    933758   2.78      2002     Spider-Man
5838588    43129   6.2      2018     God of War
9335498    429705   0.11      2019     Demon Slayer: Kimetsu no Yaiba
2580046    822756   9.26      2015     Miraculous: Tales of Ladybug & Cat Noir
3581920    257483   0.47      2023     The Last of Us
8722888    132292   9.66      2020     Stargirl
790736    455849   9.81      2013     R.I.P.D.
434665    683947   0.31      2004     Bleach
360486    408714   3.08      2005     Constantine
1442449    363646   7.02      2010     Spartacus
9561862    21797   7.75      2019     Love, Death & Robots
1600194    906125   8.24      2010     Hawaii Five-0
320661    406303   7.04      2005     Kingdom of Heaven
7462410    851367   6.99      2021     The Wheel of Time
934814    159508   0.76      2007     Chuck
